Sr. No.,Gender,Region,Annual Family Income,District,Taluka,Category,SSC Math Percentage,SSC Total Percentage,HSC Physics Percentage,HSC Chemistry Percentage,HSC Math Percentage,HSC Subject Percentage,HSC English Percentage,HSC Total Percentage,CET Percentile,JEE Percentile,Merit No,Merit Marks,Admitted
17,Male,Rural,"15,001 - 50,000",Osmanabad,Umarga,SC,87,74.4,76,86,77,86,83,81.67,63.6530495,,50966,63.6530495,1
18,Female,Urban,"15,001 - 50,000",Amravati,Achalpur,OBC,85,84.4,77,80,82,78,85,81,77.3143029,,2,77.3143029,1
19,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,NT 2 (NT-C),44,61.6,45,41,38,45,44,53.23,6.8013128,,53,6.8013128,1
20,Male,Rural,"4,50,001 - 5,00,000",Akola,Murtijapur,Open,85,83.2,89,89,89,93,89,90.33,44.4594976,38.1618113,70409,44.4594976,1
21,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,ST,78,66.8,20,29,23,22,80,22,0.23927482,43.8892756,453608,0.854087658,0
22,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,SC,74,74,89,88,82,90,75,84.33,5.4433898,,98019,5.4433898,1
23,Female,Urban,"9,00,001 - 10,00,000",Amravati,Amravati,OBC,89,78.6,83,84,82,89,84,85.33,65.5810044,56.8052882,49002,65.5810044,1
24,Male,Urban,"4,00,001 - 4,50,000",Amravati,Amravati,NT 2 (NT-C),91,79,31,29,25,33,89,22,0.621246562,70.7965375,386931,0.735786568,0
25,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,88,86,87,83,85,87,92,85.83,80.5532035,73.7119185,29435,80.5532035,1
26,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,92,86.8,87,79,75,80,82,81,41.6222736,,17,41.6222736,1
27,Female,Urban,"50,001 - 1,00,000",Yavatmal,Darwha,OBC,100,91.6,90,91,77,0,93,87.4,69.3138732,54.2524464,44287,69.3138732,1
28,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,Open,97,82,24,22,22,22,88,26,0.929914472,,503413,0.214166906,0
29,Male,Rural,"15,001 - 50,000",Amravati,Chandurbazar,SC,86,84,88,85,96,91,81,88.5,44.4594976,,70277,44.4594976,1
30,Male,Rural,"15,001 - 50,000",Amravati,Chandurbazar,OBC,52,81,30,27,21,32,54,29,0.746687373,41.1898175,153862,0.39764685,0
31,Male,Rural,"50,001 - 1,00,000",Amravati,Chandurbazar,OBC,35,36.5,73,76,75,75,71,74.83,51.9482809,,63050,51.9482809,1
32,Male,Rural,"15,001 - 50,000",Amravati,Amravati,SC,50,68.4,73,74,69,75,74,72.83,36.4400146,39.7382306,77038,36.4400146,1
33,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,61,67.4,77,78,73,89.5,83,81.67,48.9793798,,65419,48.9793798,1
34,Female,Rural,"4,00,001 - 4,50,000",Wardha,Deoli,OBC,63,76.6,84,84,81,85,89,85.17,62.3075719,,52261,62.3075719,1
35,Male,Urban,"7,00,001 - 8,00,000",Akola,Akola,Open,80,76.8,87,86,79,90.5,82,85.83,53.6630133,63.621079,61496,53.6630133,1
36,Male,Rural,"15,001 - 50,000",Wardha,Hinganghat,SC,65,62.4,61,63,56,62,55,60.33,63.6530495,,51026,63.6530495,1
37,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,80,78.4,76,77,76,82,72,77.83,45.4668811,,68894,45.4668811,1
38,Male,Rural,"15,001 - 50,000",Wardha,Ashti,OBC,91,84.2,93,90,96,92,91,92.33,71.2480897,,41461,71.2480897,1
39,Female,Rural,"50,001 - 1,00,000",Amravati,Anjangaon Surji,OBC,58,65.6,74,69,65,75,73,72.83,76.1031259,,35472,76.1031259,1
40,Female,Rural,"15,001 - 50,000",Wardha,Ashti,SC,90,84.6,92,91,93,96,93,92.33,41.6222736,47.3169603,72142,41.6222736,1
41,Male,Urban,"1,50,001 - 2,00,000",Akola,Akola,Open,81,74.4,91,87,91,0,87,85.17,71.1205193,,41680,71.1205193,1
42,Female,Urban,"3,50,001 - 4,00,000",Yavatmal,Darwha,OBC,93,88.4,84,87,79,81,88,85,20.4998738,,42,20.4998738,1
43,Female,Rural,"15,001 - 50,000",Akola,Telhara,OBC,92,77.8,74,76,66,0,82,77.2,77.3552748,,33906,77.3552748,1
44,Male,Urban,"9,00,001 - 10,00,000",Amravati,Amravati,SC,68,62.4,85,81,82,88.5,74,83.17,48.9793798,61.3387242,27266,61.3387242,1
45,Female,Rural,"15,001 - 50,000",Amravati,Warud,SC,69,70.8,30,32,29,28,86,24,0.108964715,,151235,0.002735974,0
46,Female,Urban,"1,00,001 - 1,50,000",Nagpur,Nagpur (Urban),OBC,86,86.8,33,33,31,30,90,31,0.772771228,23.5561366,277421,0.202555325,0
47,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,89,86.4,87,93,88,93,86,89.83,4.5811042,28.9010198,57,4.5811042,1
48,Male,Urban,"3,00,001 - 3,50,000",Amravati,Amravati,Open,64,73.4,25,33,22,25,80,22,0.876954655,46.8825338,443010,0.042554628,0
49,Male,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,SC,71,69.4,67,64,58,59,73,64.67,45.9812986,,67,45.9812986,1
50,Male,Urban,"50,001 - 1,00,000",Amravati,Achalpur,OBC,60,56.6,79,77,76,78,77,76.83,24.3861135,,32,24.3861135,1
51,Female,Rural,"15,001 - 50,000",Wardha,Ashti,SC,90,84.6,28,22,23,33,93,20,0.465559983,47.3169603,441161,0.376001764,0
52,Male,Rural,"1,50,001 - 2,00,000",Amravati,Achalpur,NT 2 (NT-C),77,76.2,90,90,89,93,80,89.17,53.6630133,,61279,53.6630133,1
53,Male,Urban,"15,001 - 50,000",Akola,Akola,OBC,89,79.8,88,88,85,85,82,85.17,66.2408483,6.8407756,47504,66.2408483,1
54,Female,Rural,"50,001 - 1,00,000",Amravati,Dhamangaon Railway,OBC,65,60,74,74,66,73,69,71.17,35.4311402,,24,35.4311402,1
55,Male,Rural,"15,001 - 50,000",Amravati,Morshi,OBC,58,69,31,25,23,24,78,20,0.207562108,19.8080313,408536,0.070495491,0
56,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,80,78.4,33,31,22,20,72,32,0.566001418,,553085,0.028269914,0
57,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,SC,82,78.2,20,27,20,29,78,32,0.407581138,,406874,0.321052137,0
58,Female,Urban,"50,001 - 1,00,000",Amravati,Warud,OBC,98,89.8,92,92,91,95,92,92.83,51.8984054,61.6076135,26920,61.6076135,1
59,Male,Urban,"15,001 - 50,000",Akola,Akola,OBC,62,66.8,22,28,29,24,82,26,0.052499908,,234047,0.302180905,0
60,Male,Urban,"9,00,001 - 10,00,000",Akola,Akot,OBC,76,74.4,83,83,80,88,84,84.33,69.6680476,41.8216831,43721,69.6680476,1
61,Male,Urban,"7,00,001 - 8,00,000",Amravati,Amravati,OBC,83,63.6,83,81,75,90,80,83.17,74.2881116,66.7676723,37904,74.2881116,1
62,Female,Rural,"15,001 - 50,000",Amravati,Morshi,OBC,96,92.6,28,32,20,33,91,31,0.758025653,,227917,0.310325351,0
63,Male,Urban,"9,00,001 - 10,00,000",Amravati,Amravati,SC,68,62.4,27,29,28,31,74,33,0.914319199,61.3387242,277106,0.33050508,0
64,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,89,79.4,22,33,28,30,85,21,0.477688364,,420512,0.300458361,0
65,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,75,60.8,81,80,86,0,74,78.17,56.5641602,,58523,56.5641602,1
66,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,95,87.4,28,30,25,33,85,32,0.349553246,,500021,0.792168042,0
67,Male,Urban,"15,001 - 50,000",Wardha,Arvi,OBC,81,73.2,79,81,79,90,83,83.67,66.0774325,,47920,66.0774325,1
68,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,OBC,89,89.8,88,92,83,91,82,85.33,65.876376,,48168,65.876376,1
69,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,OBC,72,68.2,84,82,82,84,78,82.5,30.3004877,,82042,30.3004877,1
70,Male,Urban,"15,001 - 50,000",Amravati,Anjangaon Surji,OBC,58,65,81,82,80,84,83,83,57.2430271,,57451,57.2430271,1
71,Male,Rural,"15,001 - 50,000",Amravati,Achalpur,OBC,56,66.4,28,21,32,23,48,25,0.584018802,,544026,0.672698965,0
72,Male,Rural,"50,001 - 1,00,000",Amravati,Bhatkuli,OBC,52,68.4,82,71,69,0,80,79.83,74.3520423,,37698,74.3520423,1
73,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,89,79.4,89,90,83,0,85,87.33,37.3800409,,76680,37.3800409,1
74,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,NT 1 (NT-B),59,64.6,26,24,23,23,74,25,0.747501511,,541286,0.845250096,0
75,Female,Rural,"50,001 - 1,00,000",Yavatmal,Ner,OBC,95,82.6,93,95,91,95,91,92.67,67.7556744,,46659,67.7556744,1
76,Male,Urban,"4,50,001 - 5,00,000",Jalgaon,Bhusawal,OBC,78,70.2,25,32,31,22,86,25,0.046656621,59.5977624,466385,0.617318151,0
77,Female,Urban,"50,001 - 1,00,000",Yavatmal,Darwha,Open,70,65.4,64,74,61,73,76,72,65.5810044,,48853,65.5810044,1
78,Male,Urban,"2,00,001 -2,50,000",Amravati,Amravati,Open,82,82.8,23,29,22,26,86,22,0.167332697,,395850,0.944927895,0
79,Female,Urban,"15,001 - 50,000",Amravati,Daryapur,NT 2 (NT-C),62,71.8,80,79,79,76,78,78.5,44.4594976,,70230,44.4594976,1
80,Male,Urban,"15,001 - 50,000",Amravati,Amravati,NT 1 (NT-B),77,75.6,75,70,75,85.5,80,78.5,43.0893887,,71183,43.0893887,1
81,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,SC,90,84.6,74,76,77,66,73,75.5,44.5236882,,69862,44.5236882,1
82,Male,Urban,"50,001 - 1,00,000",Buldhana,Deolgaon Raja,OBC,64,67,22,33,31,30,79,32,0.984748345,,421909,0.95553502,0
83,Female,Rural,"15,001 - 50,000",Buldhana,Shegaon,OBC,83,83.4,92,91,91,92,87,90,73.4175234,,38819,73.4175234,1
84,Female,Rural,"9,00,001 - 10,00,000",Amravati,Amravati,Open,77,78.2,92,91,90,93,91,91.67,45.1726604,38.898332,69156,45.1726604,1
85,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,90,73.4,86,87,90,88.5,82,87,75.9153688,10.5908921,35671,75.9153688,1
86,Female,Urban,"15,001 - 50,000",Amravati,Amravati,Open,87,86.4,25,30,26,31,89,26,0.253092876,,354268,0.30020381,0
87,Female,Rural,"15,001 - 50,000",Buldhana,Shegaon,OBC,83,83.4,33,27,32,32,87,30,0.271999363,,328171,0.525330384,0
88,Female,Rural,"15,001 - 50,000",Amravati,Amravati,SC,71,79.4,29,23,26,27,72,21,0.596575754,,542015,0.151232594,0
89,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,93,74,89,90,90,93,89,90.67,83.0720017,,25901,83.0720017,1
90,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,69,74.2,27,29,31,31,76,21,0.186761431,,543841,0.16457206,0
91,Male,Urban,"6,00,001 - 7,00,000",Wardha,Ashti,OBC,95,88,94,94,97,96,95,95.17,33.9863671,36.9675296,25,33.9863671,1
92,Male,Rural,"15,001 - 50,000",Wardha,Karanja,OBC,92,77.6,90,88,89,94,87,89.33,77.7279132,,33234,77.7279132,1
93,Female,Urban,"15,001 - 50,000",Yavatmal,Yavatmal,Open,81,72,85,87,86,88,86,86.67,37.3800409,28.3388001,76681,37.3800409,1
94,Male,Rural,"15,001 - 50,000",Wardha,Seloo,OBC,64,63.8,87,71,83,87,73,77.67,6.6428935,16.8738015,54,6.6428935,1
95,Male,Rural,"15,001 - 50,000",Wardha,Ashti,OBC,91,84.2,23,26,31,32,91,24,0.530448094,,523568,0.084746127,0
96,Male,Rural,"3,00,001 - 3,50,000",Wardha,Seloo,SC,94,73,21,23,31,27,84,23,0.317232751,33.6592408,329949,0.018884385,0
97,Female,Rural,"15,001 - 50,000",Akola,Akola,NT 2 (NT-C),62,71.6,23,32,20,22,52,30,0.211905148,,317813,0.034849875,0
98,Female,Urban,"50,001 - 1,00,000",Nagpur,Nagpur (Urban),OBC,72,72.2,24,23,23,25,87,30,0.18921967,65.0714882,299872,0.83611044,0
99,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,57,52.6,30,33,20,30,65,31,0.827742259,,200886,0.254082469,0
100,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,71,73.8,83,83,76,88.5,73,82,48.4337349,49.522898,66140,48.4337349,1
101,Male,Urban,"50,001 - 1,00,000",Amravati,Achalpur,OBC,60,56.6,28,26,21,22,77,21,0.909341883,,146092,0.006555019,0
102,Female,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,NT 2 (NT-C),95,87.6,91,85,91,94,91,91,73.4175234,47.3169603,38847,73.4175234,1
103,Male,Rural,"15,001 - 50,000",Buldhana,Nandura,Open,81,75.6,90,90,84,86,87,87.33,22.8953821,,87575,22.8953821,1
104,Male,Rural,"15,001 - 50,000",Wardha,Ashti,SC,36,43,22,27,27,31,60,21,0.461228,,326242,0.690429516,0
105,Male,Rural,"15,001 - 50,000",Amravati,Chandurbazar,OBC,77,81.4,85,88,83,87,81,85.17,65.5810044,,48857,65.5810044,1
106,Male,Rural,"50,001 - 1,00,000",Buldhana,Sangrampur,OBC,90,81.4,30,20,26,20,81,24,0.777621181,,507980,0.252019928,0
107,Male,Rural,"15,001 - 50,000",Buldhana,Khamgaon,OBC,92,89,92,91,94,96,84,92.17,72.5888922,,40213,72.5888922,1
108,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,93,74,28,33,30,24,89,25,0.00970175,,506911,0.850150348,0
109,Female,Urban,"15,001 - 50,000",Yavatmal,Ner,SBC,86,83,93,92,91,93,91,91.67,59.736145,27.6356103,7,59.736145,1
110,Male,Rural,"15,001 - 50,000",Akola,Murtijapur,OBC,69,71.4,85,86,81,86,82,83.33,44.8674577,,69598,44.8674577,1
111,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,SC,71,71.4,33,23,25,21,76,22,0.985885157,10.6996637,365110,0.192383645,0
112,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,SC,90,84.6,21,22,30,24,73,25,0.258733528,,355186,0.460410768,0
113,Female,Urban,"50,001 - 1,00,000",Wardha,Wardha,OBC,85,76.2,26,25,24,32,85,21,0.110758732,62.5636892,249086,0.34844929,0
114,Male,Rural,"15,001 - 50,000",Washim,Mangrulpir,SC,95,83.4,76,86,79,82,74,80,,31.8667498,75,31.8667498,1
115,Male,Rural,"50,001 - 1,00,000",Amravati,Amravati,NT 1 (NT-B),92,78.4,82,81,84,87,78,79.67,75.7188332,,63,75.7188332,1
116,Female,Rural,"9,00,001 - 10,00,000",Amravati,Morshi,OBC,89,89.8,27,26,22,23,92,30,0.370071132,43.1983266,189829,0.153975088,0
117,Male,Urban,"50,001 - 1,00,000",Yavatmal,Darwha,OBC,86,72.6,23,26,31,20,74,22,0.673422437,,118559,0.544292279,0
118,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,ST,78,66.8,73,71,78,80,80,77,14.9204746,43.8892756,92704,14.9204746,1
119,Female,Rural,"15,001 - 50,000",Amravati,Achalpur,NT 1 (NT-B),74,74,96,93,94,91,90,92.67,61.5287969,,52891,61.5287969,1
120,Male,Urban,"8,00,001 - 9,00,000",Amravati,Warud,OBC,72,79.6,24,20,32,28,86,24,0.958508192,26.5180473,161788,0.357184178,0
121,Male,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,Open,78,63.2,87,87,96,94,87,90.83,30.3004877,,27,30.3004877,1
122,Male,Rural,"15,001 - 50,000",Washim,Karanja,OBC,84,84.6,85,85,89,89,85,86.33,62.3075719,22.9937492,52297,62.3075719,1
123,Female,Urban,"7,00,001 - 8,00,000",Amravati,Amravati,OBC,83,78.6,32,20,20,33,85,23,0.461508003,42.1687901,452201,0.599996643,0
124,Female,Urban,"15,001 - 50,000",Yavatmal,Ner,SBC,86,83,30,33,20,20,91,33,0.549795885,27.6356103,402077,0.05197411,0
125,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,92,86.8,32,24,33,32,82,24,0.211679215,,307683,0.643762147,0
126,Male,Urban,"1,00,001 - 1,50,000",Amravati,Teosa,Open,64,64.6,28,21,20,20,55,32,0.575150143,,153560,0.765636319,0
127,Female,Rural,"15,001 - 50,000",Betul,Not Applicable,Not Applicable,63,59.8,74,80,77,79,76,76.83,59.736145,,66,59.736145,1
128,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,56,61.8,85,81,81,83,67,78.83,61.274009,49.07718,53704,61.274009,1
129,Male,Rural,"15,001 - 50,000",Amravati,Morshi,OBC,58,69,81,81,70,87.5,78,80.83,61.274009,19.8080313,53533,61.274009,1
130,Male,Rural,"15,001 - 50,000",Wardha,Hinganghat,Open,45,60.8,22,25,23,23,75,29,0.968092026,56.4272421,315379,0.900030526,0
131,Female,Rural,"50,001 - 1,00,000",Yavatmal,Ner,SC,62,70,33,33,27,30,87,23,0.225868848,,374917,0.589248047,0
132,Female,Urban,"50,001 - 1,00,000",Amravati,Warud,OBC,98,89.8,26,32,21,22,92,33,0.766177428,61.6076135,291364,0.709935717,0
133,Female,Urban,"10,00,001 - 15,00,000",Amravati,Amravati,OBC,87,86.8,27,23,22,24,87,27,0.561286409,69.723163,509469,0.450590166,0
134,Female,Rural,"4,00,001 - 4,50,000",Amravati,Dhamangaon Railway,NT 2 (NT-C),82,72.6,89,88,79,78,83,82.33,5.242698,,98100,5.242698,1
135,Female,Rural,"15,001 - 50,000",Amravati,Anjangaon Surji,OBC,74,79.4,84,85,82,88,87,86.67,63.5625255,,51561,63.5625255,1
136,Male,Rural,"15,001 - 50,000",Buldhana,Chikhli,Open,56,58,30,33,21,32,75,29,0.547057183,,276795,0.577771494,0
137,Female,Rural,"15,001 - 50,000",Amravati,Bhatkuli,SC,53,73.8,28,27,30,32,65,23,0.7338397,,397205,0.473088623,0
138,Male,Rural,"50,001 - 1,00,000",Akola,Akola,Open,72,73.8,46,56,66,0,48,58.31,63.5909492,,51297,63.5909492,1
139,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,95,94.6,94,94,94,97,93,94.83,48.4337349,,66040,48.4337349,1
140,Female,Urban,"15,001 - 50,000",Amravati,Amravati,Open,87,86.4,95,94,92,95,89,93.33,64.0315795,,50145,64.0315795,1
141,Male,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,Open,68,75.2,22,20,24,32,86,22,0.589106488,,286610,0.798992076,0
142,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,NT 2 (NT-C),67,67.2,27,23,33,28,80,28,0.68454586,,480377,0.762229069,0
143,Male,Rural,"15,001 - 50,000",Amravati,Teosa,SC,73,72.8,79,81,80,83,77,80.5,16.4118353,,47,16.4118353,1
144,Male,Rural,"15,001 - 50,000",Buldhana,Sangrampur,OBC,69,76.6,88,83,78,89,81,83.67,61.3942986,,53319,61.3942986,1
145,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,OBC,89,89.8,29,28,28,32,82,33,0.70954408,,563418,0.0453804,0
146,Female,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,SC,71,72.2,25,28,23,33,76,33,0.422078754,,247180,0.230798895,0
147,Female,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,Open,84,81,30,21,25,25,84,21,0.58015559,,247910,0.792285101,0
148,Female,Rural,"15,001 - 50,000",Amravati,Teosa,SC,58,49.8,73,72,72,76,70,72.33,22.0842248,45.6326029,87682,22.0842248,1
149,Female,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,Open,84,81,83,78,82,83,84,82,74.6585417,,37222,74.6585417,1
150,Female,Rural,"3,00,001 - 3,50,000",Yavatmal,Arni,SBC,47,61.8,84,88,81,84,82,83.5,78.5807619,38.8121746,31925,78.5807619,1
151,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,OBC,78,75.8,83,79,78,89.5,74,82.17,71.5034873,46.1597641,41072,71.5034873,1
152,Female,Rural,"4,00,001 - 4,50,000",Amravati,Dhamangaon Railway,NT 2 (NT-C),82,72.6,22,31,22,20,83,25,0.242320924,,476035,0.625194277,0
153,Male,Urban,"2,50,001 - 3,00,000",Amravati,Amravati,OBC,95,87.8,91,93,93,94,85,91.67,75.9153688,65.9977098,35696,75.9153688,1
154,Female,Urban,"1,00,001 - 1,50,000",Yavatmal,Darwha,SC,64,71.4,31,27,27,26,84,22,0.179400681,,247952,0.19430554,0
155,Male,Rural,"50,001 - 1,00,000",Amravati,Daryapur,OBC,61,61.2,77,77,72,79,79,76.83,55.5758493,,59255,55.5758493,1
156,Female,Urban,"4,50,001 - 5,00,000",Amravati,Dhamangaon Railway,Open,96,88.2,90,87,93,94,90,91.5,57.2430271,,57478,57.2430271,1
157,Female,Urban,"15,001 - 50,000",Washim,Washim,Open,79,78.4,89,89,86,90,85,88,50.7987581,,64449,50.7987581,1
158,Female,Urban,"15,001 - 50,000",Amravati,Daryapur,OBC,87,85,32,28,28,27,89,21,0.878345144,,429166,0.468642706,0
159,Female,Urban,"1,00,001 - 1,50,000",Yavatmal,Darwha,SC,64,71.4,90,91,86,90,84,87.33,55.0214592,,60093,55.0214592,1
160,Female,Rural,"15,001 - 50,000",Yavatmal,Darwha,DT/VJ,87,83.2,31,23,26,20,82,23,0.740988834,,324224,0.779585327,0
161,Male,Urban,"3,00,001 - 3,50,000",Amravati,Amravati,NT 2 (NT-C),69,84.8,22,20,28,29,89,23,0.387840046,40.0995368,230250,0.003056343,0
162,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,61,67.4,33,33,27,26,83,21,0.126936871,,472573,0.115056698,0
163,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,89,86.6,88,88,87,95,92,90.17,41.0748854,48.9549942,73510,41.0748854,1
164,Male,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,Open,86,77.8,23,27,24,33,90,25,0.180460188,,145370,0.846834747,0
165,Male,Rural,"15,001 - 50,000",Amravati,Amravati,DT/VJ,85,76.4,23,28,20,28,82,26,0.218565101,,122531,0.394288405,0
166,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,75,75.2,27,32,24,30,76,20,0.727629572,,284499,0.75475698,0
167,Female,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,56,60,77,81,73,80,74,76.67,44.1945416,,70775,44.1945416,1
168,Male,Rural,"50,001 - 1,00,000",Wardha,Deoli,OBC,58,64,79,79,75,86.5,79,80.83,2.0242278,,99795,2.0242278,1
169,Male,Urban,"7,00,001 - 8,00,000",Yavatmal,Darwha,OBC,94,85.6,27,31,21,31,89,29,0.388416674,61.294048,103948,0.276485379,0
170,Male,Urban,"1,50,001 - 2,00,000",Amravati,Amravati,Open,93,83.4,23,30,33,24,84,32,0.429128117,,527103,0.733097953,0
171,Male,Urban,"1,50,001 - 2,00,000",Amravati,Amravati,OBC,58,61.6,69,72,74,87.5,73,77.17,7.1005313,44.8141858,40123,44.8141858,1
172,Female,Rural,"15,001 - 50,000",Yavatmal,Babulgaon,Open,58,59.33,79,84,86,80,83,82.83,61.3942986,,65,61.3942986,1
173,Female,Rural,"50,001 - 1,00,000",Amravati,Anjangaon Surji,NT 2 (NT-C),87,79.4,22,24,27,23,78,20,0.112827532,,291076,0.376873806,0
174,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,82,79,33,29,28,32,91,31,0.619398991,,400202,0.78882431,0
175,Male,Urban,"15,001 - 50,000",Akola,Akola,OBC,62,66.8,78,81,80,85,82,81.67,79.5702879,,30689,79.5702879,1
176,Male,Rural,"2,50,001 - 3,00,000",Amravati,Amravati,OBC,95,92,26,23,31,25,94,29,0.714355708,25.5480376,224929,0.87133743,0
177,Female,Urban,"2,00,001 -2,50,000",Akola,Akot,OBC,66,71.6,33,33,30,25,86,22,0.335715271,,580431,0.569821219,0
178,Female,Rural,"50,001 - 1,00,000",Yavatmal,Darwha,OBC,57,67.6,78,80,74,89,87,82.5,67.2915815,,46789,67.2915815,1
179,Male,Urban,"3,50,001 - 4,00,000",Amravati,Amravati,OBC,77,79,29,23,33,24,82,25,0.953703022,,246253,0.82920135,0
180,Female,Urban,"15,001 - 50,000",Nagpur,Nagpur (Urban),SC,89,74.8,27,27,30,26,88,33,0.846757304,28.8412301,116551,0.167307639,0
181,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,89,86.6,27,24,30,30,92,23,0.881348794,48.9549942,129782,0.737386326,0
